Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
Villemarin Picpoul de Pinet 2021/22,"Picpoul vines are almost exclusively grown in Picpoul de Pinet – an appellation next to the Languedoc’s Thau lagoon near Montpellier. The area is a plateau covered in vines, fragrant garrigue herbs and pine groves. We're not surprised Villemarin is a customer favourite – you can practically taste the Mediterranean in the wine. Its flavours are sun-ripened and as fresh as the salty winds that race across the lagoon. If you love crisp whites like Sauvignon Blanc, then this is a must-try. It’s incredibly zesty, with intense lemon and grapefruit flavours, and refreshing minerality – a perfect choice for fish and seafood dishes.",£11.99 per bottle,75CL,Picpoul,,Screwcap,France,9.8,"Wet Stones, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.00%,Languedoc-Roussillon,Crisp & Zesty,2022,Picpoul De Pinet
"Nero Oro Appassimento, Sicily","If your idea of a good red is velvety-smooth and full of plush fruit, our top-selling Nero Oro is not to be missed. So what makes it so silky-smooth? Creator Stefano Chioccioli uses the appassimento style of winemaking. After picking, his grapes are left to dry out in the warm sun, adding richness and intensity. Dessert wines have been made this way in Sicily for centuries, but the dry Nero Oro is something entirely unique – and you’ll only find it at Majestic. It’s full-bodied with concentrated flavours of cherry, damson and blackcurrant. Its silky texture makes it a great match for aubergine-based pasta.",£11.99 per bottle,75CL,Nero D'Avola,,Screwcap,Italy,10.5,"Vanilla, Black Plum, Blackberry, Sweet Spice",per bottle,Red,ABV 14.00%,Sicily,Rich & Juicy,NV,
Bouvet Ladubay 'Saphir' Saumur Brut 2020/21,"Love vintage Champagne, but not the price tag? Then you need to try Bouvet Ladubay’s Saphir Saumur Brut. This vintage sparkling is the savvy drinker’s first choice alternative to Champagne, made using the same traditional method. It's made from Chenin Blanc, with a small amount of Chardonnay, which adds a brioche-richness to its character. 18 months of ageing really dials up delicious biscuity flavour. Peachy, honeyed and nutty, this is really classy fizz – and an absolute steal for the quality. Delicious with white fish in a buttery sauce.

In 2022, this wine won an IWC award for the 2019 vintage.",£16.99 per bottle,75CL,Chardonnay,Chenin Blanc,Natural Cork,France,9.4,"Peach, Citrus Fruit, Floral, Hazelnut, Honey",per bottle,White,ABV 12.50%,Loire,Crisp & Fruity,2021,Saumur
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi DOCG 2021/22,"The Sarotto family settled in Piedmont in the 1800s, and Roberto is the latest generation to turn his hand to this historic winemaking region. This is his interpretation of the region's iconic white wine, known as The Chablis of Italy, Gavi di Gavi. It's made from 100% Cortese grapes on a 2-hectare vineyard and went through a long, cool fermentation process to draw out the grape's signature aromatics. Add a further three months resting on lees, and you're in for a seriously textured wine. Expect floral notes, with hints of pineapple, apricot and peach. Try it with fish tacos.",£17.99 per bottle,75CL,Cortese,,Natural Cork,Italy,9.8,"Citrus Fruit, Green Apple, Stone Fruit, Wet Stones",per bottle,White,ABV 13.00%,Piedmont,Aromatic & Floral,2022,Gavi
"Honey Drop Chardonnay 2022, South Africa","Honey Drop is an unapologetically big, bold and rich Chardonnay. It's made about as close to the sea as you can get in Stellenbosch. Grapes here benefit from a luxuriously long ripening period, allowing complex flavours to develop slowly. They get to soak up the sun and be cooled by sea breezes. Most importantly, it brings plenty of flavour to your glass. Oak ageing brings heady flavours of cream, honey, butterscotch and brioche. Decadently rich, it's fantastic with buttery roast chicken.",£13.99 per bottle,75CL,Chardonnay,,Natural Cork,South Africa,10.1,"Bread, Cream, Smoke, Stone Fruit, Vanilla",per bottle,White,ABV 13.50%,Stellenbosch,Rich & Toasty,2022,
"Luis Felipe Edwards Gran Reserva Merlot 2020/21, Colchagua Valley","If you love big, bold reds, Colchagua Valley will be your paradise. It’s sandwiched between the Andes and the Coastal Mountain Range, with an arid climate which is too much for the delicate skin of white grapes – but is perfect to slowly ripen red grapes, intensifying the flavours. Luis Felipe Edwards’ vineyards are at a particularly high-altitude, 900 meters above sea level, which creates a slightly cooler micro-climate. Ideal conditions for Merlot. Fresh. Fruity. It’s got incredible intensity from ripening in the Colchagua sun. Think strawberry, black cherry and cassis. A lovely ripe, velvety texture complements this moreish fruitiness. Ideal with roast beef.",£11.29 per bottle,75CL,Merlot,,Natural Cork,Chile,10.9,"Vanilla, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.50%,Central Valley,Smooth & Mellow,2021,Colchagua Valley
Marqués de Cáceres Rioja Crianza 2018/19,"If you’ve drunk Rioja, you’re almost guaranteed to have come across Marqués de Cáceres. Since the 1970s they’ve been producing quality wines in the Spanish region. Their expertise certainly shows in this Crianza. The grapes, primarily Tempranillo, are grown on plots in Rioja Alta and Rioja Alavesa, then aged for 12 months in oak to lend aromas of toasted wood and spices. It’s full of candied red fruit flavours and very smooth to drink, thanks to elegant tannins. A wine for a gourmet burger, comforting stew or chorizo-based dishes.",£13.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.5,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.00%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja
"Luis Felipe Edwards Gran Reserva Chardonnay 2021/22, Casablanca Valley","Luis Felipe Edwards Senior returned from Europe to Chile in 1976 and began growing grapes at a small property in the foothills of the Andes. Less than 20 years later, he stopped selling his grapes in bulk to create his own excellent wines. Luis Felipe Edwards has since become one of the biggest names in Chilean wine. But the winery remains in the family with one aim: to bring you the finest wines at the best prices. This is a rich and textured Chardonnay, with notes of pineapple, apricot, vanilla and butterscotch. It has a gentle nuttiness that matches well with creamy chicken.",£11.29 per bottle,75CL,Chardonnay,,Screwcap,Chile,10.1,"Vanilla, Lemon, Peach",per bottle,White,ABV 13.50%,Central Valley,Rich & Toasty,2022,Colchagua Valley
Ramón Bilbao 'Selección Especial' Rioja 2020/21,"The Tempranillo and Garnacha grapes used to make this are from all over Rioja. So you can be sure you're tasting the best fo the famous region. Ripe. Fruity. It's full of blackberry and cherry fruit flavours - with a savoury, balsamic note which is really moreish. Vanilla, coconutty spice is from oak barrels, and it's got a lovely velvety texture. Delicious with smoked meats or spicy food.

In 2022, this wine won an IWC award for the 2019 vintage.",£9.99 per bottle,75CL,Grenache,"Tempranillo, Graciano, Mazuelo",Natural Cork,Spain,10.5,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.00%,Rioja And Navarra,Smooth & Mellow,2021,Rioja
"Waimea Estates Sauvignon Blanc 2022, Nelson","Thought New Zealand Sauvignon stopped at Marlborough? Think again. Nelson has warm days, sea breeze-cooled days and plenty of sunshine hours. Some claim that it's the country's sunniest spot. It's where you'll find Sauvignon Blanc with some of the ripest tropical-fruit flavours. And that's why Waimea Estates has a history of winning awards all over the globe. It's tropical, vibrant and crisp. Expect passionfruit, lime and pea pod and a long, elegant finish. Its crisp finish and complex flavours mean it’ll make a fantastic match for sea bass",£12.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.1,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.50%,Nelson,Crisp & Zesty,2022,
Lanson 'Le Rosé' Brut Champagne,"Lanson made one of the first rosé Champagnes. 60 years later, they've perfected their recipe. The Grande Marque's signature rosé is coloured a delightful salmon pink. It's well-rounded and fresh, with intriguing aromas of roses and red fruits. It makes an ideal partner to delicate white meat dishes, or even fresh fruit desserts.",£48.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,France,9.4,"Strawberry, Raspberry, Red Cherry, Rose",per bottle,Rosé,ABV 12.50%,,Crisp & Fruity,NV,
"Domaine des Tourelles Cuvée Pierre Brun 2019/20, Lebanon","When it comes to Lebanese wines it's not only Château Musar that's worth collecting. Founded in 1868, Tourelles is Lebanon's oldest winery. It's now run by Faouzi Issa, who earned his stripes working in Côte Rôtie and at iconic Château Margaux.This experience is reaping rewards. A blend of Cabernet, Syrah, Cinsault and Carignan, this has fine aromatic morello cherry and spice aromas, a dark fruit core with layered earthy spice, and balanced tannins.",£14.99 per bottle,75CL,Cabernet Sauvignon,"Carignan, Cinsault, Syrah",Natural Cork,Lebanon,10.9,"Spice, Black Cherry, Black Fruit, Earth",per bottle,Red,ABV 14.50%,Lebanon,Savoury & Full Bodied,2020,Beqaa Valley
Cave de Lugny Bourgogne Pinot Noir 2022,"With winemaking roots dating back to the 18th century, Cave de Lugny are a classic name in Burgundy. They were the second ever cooperative established in the Mâconnais region – and their expertise is evident in all their wines. Since 2015 they’ve been certified as sustainable winegrowers – and their mission for quality and care extends to the vineyards around them. This silky Pinot Noir wine is mostly produced from vineyards with an average age of 30 years from the communes of Saint-Gengoux-de-Scissé and Cruzille. Here, the south-east facing, hillside-only vineyards feature produce exceptional quality grapes that deliver even more flavour to your glass. It’s fresh and supple, with juicy notes of red cherry, redcurrant and liquorice. Its smooth tannins make it a great pairing with grilled beef.",£16.99 per bottle,75CL,Pinot Noir,,Screwcap,France,9.4,"Liquorice, Red Cherry, Red Fruit",per bottle,Red,ABV 12.50%,Bourgogne,Light & Elegant,2022,
Aperol Aperitivo 70cl,"The Italian classic. Aperol’s distinctive bittersweet flavour is thanks to its unique infusion of rhubarb, orange and herbs. This is a top-secret recipe that hasn’t changed since 1919. It's bright and bittersweet and will blend perfectly with Prosecco for a fresh Aperol spritz.",£13.00 per bottle,70CL,,,Screwcap,Italy,7.7,,per bottle,,ABV 11.00%,,,NV,
"Luis Felipe Edwards Gran Reserva Sauvignon Blanc 2021/22, Leyda Valley","Chile's Leyda Valley is a region on the up. Its cooler, Pacific climate is ideal for Sauvignon Blanc grapes. Luis Felipe Edwards' vineyards are some of the closest to the sea in the valley. And the man making this wine on them, Nicolas Bizzarri, earned his stripes at the prestigious Robert Mondavi winery in California. This is a juicy, tropical Sauvignon, with notes of pineapple, passionfruit and lemon. Simply excellent with fish.",£11.29 per bottle,75CL,Sauvignon Blanc,,Screwcap,Chile,10.1,"Green Apple, Citrus Fruit, Grass",per bottle,White,ABV 13.50%,Aconcagua,Crisp & Zesty,2022,San Antonio Valley / Leyda Valley
"Mt Difficulty 'Roaring Meg' Pinot Noir 2019/20, Central Otago","The sustainable Mt. Difficulty winery is the most famous producer in Central Otago. Their famed Roaring Meg range came about almost by accident. In 2003, there was leftover fruit from some of their best vineyards. So the winemaking team here saw an opportunity to try out a different style of Pinot Noir. They made a wine which was exceptionally fruity - one which was made to drink young. Roaring Meg was born. And it was such a success, they’ve been making it ever since. This is a real favourite of ours. It's packed with red fruity flavours. Raspberry. Red cherry. A hint of spice. Perfect with glazed ham or rustic duck cassoulet.",£21.99 per bottle,75CL,Pinot Noir,,Screwcap,New Zealand,10.5,"Sweet Spice, Black Cherry, Blackberry, Red Fruit",per bottle,Red,ABV 14.00%,Central Otago,Light & Elegant,2020,
Cave de Viré Viré-Clessé 2020/21,"If you prefer your Chardonnay unoaked, we recommend this Viré-Clessé. Thanks to the limestone soils in the vineyards, this is a mineral style of white Burgundy. It’s made by Viré-Clessé’s biggest producer, who played a large part in the area gaining prestigious appellation status. It’s also aged on its lees. This brings it a delectably rich texture. Expect bright exotic-fruit flavours that are best enjoyed with oysters and a squeeze of lemon.",£16.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Peach, Apricot, Floral, Lemon",per bottle,White,ABV 13.50%,Burgundy,Ripe & Rounded,2021,Viré-Clessé
"Definition Pinot Noir 2020/21, Marlborough","Kiwi Pinot Noir is a real success story. It’s no longer simply compared to Burgundy – it’s become a coveted style of Pinot in its own right. So, it was a no-brainer addition to our Definition range. We wanted something exciting to do justice to New Zealand’s pioneering spirit. So, we headed to Marlborough. The region’s history with Pinot is younger, but if there was anyone who could help us get the blend just right it was Marlborough and Pinot experts, Saint Clair. With them we selected grapes from top parcels in the Southern Valleys – the best site for Pinot in the region. The results speak for themselves. It’s deliciously savoury with classic Marlborough dark fruit. Think black cherry and raspberry. It’s perfumed but fresh, with fine tannins and a lovely silky texture. Ideal with duck.",£15.99 per bottle,75CL,Pinot Noir,,Screwcap,New Zealand,10.1,"Sweet Spice, Black Cherry, Blackberry, Red Fruit",per bottle,Red,ABV 13.50%,Marlborough,Light & Elegant,2021,
"Luis Felipe Edwards 'Signature Series' Viognier Reserva 2022/23, Rapel Valley","Luis Felipe Edwards is one of the first names in Chilean winemaking. Established in 1976, the family-owned winery has gained global success thanks to their commitment to making wines of only the highest quality. Originating from France, the Viognier grape has flourished in Chile’s Rapel Valley, and the family know exactly how to draw out its signature ripe and aromatic flavours. To add a little richness, this Reserva spends just two months in oak which, in turn, retains maximum freshness. It’s bright and zingy with notes of pear, peach and apricot, plus a minerality which adds to its elegance. Viognier’s full, fruity flavour complements spice perfectly. So pair this with your favourite spicy Asian dish.",£8.99 per bottle,75CL,Viognier,,Screwcap,Chile,10.1,"Peach, Apricot, Floral",per bottle,White,ABV 13.50%,Central Valley,Ripe & Rounded,2023,Rapel Valley
"Tenuta dell'Ornellaia ‘Le Volte’ 2020/21, Tuscany","Ornellaia is an estate in demand. Their first wine is one of the most sought-after in Italy. ‘Le Volte’ is your chance to taste their expertise at a lower price, and it favours the adventurous. Here, Sangiovese is combined with Merlot and Cabernet Sauvignon. It's an exciting twist on the Super Tuscan blend. Aged for over 10 months in oak, it has great structure, fresh notes of red fruits and a balancing acidity that are sublime with venison.",£29.99 per bottle,75CL,Cabernet Sauvignon,"Sangiovese, Merlot",Natural Cork,Italy,10.5,"Vanilla, Black Fruit, Red Fruit, Tobacco",per bottle,Red,ABV 14.00%,Tuscany,Savoury & Full Bodied,2021,Bolgheri
"Chronic Cellars 'Sir Real' Cabernet Sauvignon 2020/21, Paso Robles","The Beckett brothers grew up in Paso Robles, washing oak barrels and working bottling lines. It was here that they formed life-long connections with local farmers. These ties mean they now have access to the region’s finest (or ‘Chronic’ as the duo call them) grapes. Their 'Sir Real' showcases the very best of Paso Robles Cabernet. Try its notes of black fruit and toasted spice with beef ribs.",£17.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,USA,10.9,"Savoury, Black Cherry, Black Fruit, Blackcurrant, Chocolate",per bottle,Red,ABV 14.50%,California,Savoury & Full Bodied,2021,Paso Robles
Robertson Winery 'Winemakers Selection' Chardonnay 2022,"South Africa’s Robertson has the terroir and climate to allow a range of grape varieties to flourish. Nestled between the sun-drenched Langeberg Mountains and the fertile reaches of the Breede River, Chardonnay vines here thrive in vineyards tempered by ocean breezes. Named after the region itself, the Robertson winery is housed within an ancient stone missionary church – a nod towards the region’s 150 years of heritage. And community is at the heart of everything they do. As a major employer in the valley, the team is committed to giving back. They recently set up the ‘Really Good Wine’ initiative, a project set up to invest in local education. Thirty-five different farms now make up the Robertson Winery community, some of whom have been growing grapes in the valley for seven generations. Winemaker Rianco van Rooyen’s experiences in both California and Bordeaux have contributed to his aromatically intense and fruit-forward style of wine, as this first-rate Chardonnay effortlessly shows. Expect ripe flavours of lemon, melon and a subtle creamy nuttiness. Its refreshing acidity and rounded body makes it a great choice for rich poultry dishes.",£9.99 per bottle,75CL,Chardonnay,,Screwcap,South Africa,9.8,"Cream, Lemon, Melon",per bottle,White,ABV 13.00%,Robertson,Ripe & Rounded,2022,
"Honey Drop Chenin Blanc 2022, Swartland","Honey Drop wines, produced at the renowned Journey's End vineyards, are big, bold, and unmistakably characterful. And this wine is no exception. Made with some of the oldest bush-vine Chenin Blanc in Swartland, each bottle is the result of a mission to sustainably produce wines that are both delicious and environmentally conscious. Only grapes deemed perfectly ripe are picked by hand, and careful use of oak in the winery adds complex layers of woody notes and rich texture. Expect creamy tropical and peachy notes under rich layers of oak and vanilla. The refreshing acidity makes it a great partner for roast pork dishes.",£14.99 per bottle,75CL,Chenin Blanc,,Screwcap,South Africa,9.4,"Pineapple, Stone Fruit, Tropical Fruit, Vanilla",per bottle,White,ABV 12.50%,Swartland,Ripe & Rounded,2022,
"Videla 'Aranda' Malbec 2021, Mendoza","Aranda Malbec is made by Stephen Huse, a highly esteemed winemaker who has worked at some of the world’s greatest wineries – most notably Château Margaux and Château Mouton Rothschild. He uses high-altitude vines and gentle oak ageing to create a balanced, complex red that punches well above its price tag. It boasts rich flavours of ripe plum and blackcurrant, with hints of sweet spice. Its well-structured tannins and freshness make it a perfect partner for chargrilled steak.",£9.99 per bottle,75CL,Malbec,,Natural Cork,Argentina,10.5,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.00%,Mendoza,Soft & Fruity,2021,
"Bodega Matsu ‘El Recio’ 2020/21, Toro","Matsu translates from Japanese as ‘to wait’. It perfectly captures the patient philosophy of Bodegas Matsu on their century-old Toro vineyards. The bodega’s mature vines help to create wines with diverse and complex flavour profiles. ‘El Recio’ is made from Tempranillo vines between 90 and 100 years old. So expect heady notes of black fruit, chocolate and vanilla, a full body and a fruity, lingering finish. Enjoy it with juicy lamb shanks.",£15.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.9,"Cedar, Black Cherry, Blackcurrant",per bottle,Red,ABV 14.50%,Castilla Y León,Savoury & Full Bodied,2021,Toro
"Managers' Choice: Agenda Red 2019/20, Dão","We asked our store managers to select a new wine to be stocked nation-wide. They picked this from a huge pool of contenders. The Agenda Red is a delightfully soft and rounded wine with loads of plum and bramble flavours, plus a touch of herbs. Judicious use of oak adds a slight spiciness to the finish. This will be perfect with roast lamb and rosemary.",£11.99 per bottle,75CL,Touriga Nacional,"Tinta Roriz, Alfrocheiro",Natural Cork,Portugal,9.8,"Spice, Black Plum, Blackcurrant Leaf, Herbaceous",per bottle,Red,ABV 13.00%,Dao,Light & Elegant,2020,
"Pringle Bay Pinot Noir 2021, Western Cape","David Williams, writing in The Observer in 2022, referred to Pringle Bay wines as being ""among the best value wines"" he'd tried over the year. This Pinot Noir is crafted by winemakers Duncan Savage and Thys Louw, from nearby family estate Diemersdal. We’re certain it’s a soon-to-be-uncovered gem. It's unusual to find such high quality at such an affordable price, but this wine truly delivers. You'll find soft red cherry, plum and summer fruit notes, plus a touch of baking spice. It pairs excellently with lighter dishes, such as white meats, and can even be served slightly chilled.",£9.99 per bottle,75CL,Pinot Noir,,Screwcap,South Africa,9.8,"Red Cherry, Red Fruit, Red Plum",per bottle,Red,ABV 13.00%,Western Cape,Light & Elegant,2021,
"DeMorgenzon 'DMZ' Chenin Blanc 2021/22, Stellenbosch","The award-winning DeMorgenzon plays baroque music to its vines 24 hours a day, seven days a week in the belief that it coaxes grapes to optimum ripeness. Decide for yourself in this exceptional Chenin Blanc. It has rich notes of green apple, stone fruits and honey and a lingering aftertaste.",£14.99 per bottle,75CL,Chenin Blanc,,Screwcap,South Africa,10.5,"Stone Fruit, Citrus Fruit, Floral",per bottle,White,ABV 14.00%,Stellenbosch,Aromatic & Floral,2022,
"Domaine Begude 'L'Etoile' Organic Chardonnay 2020/21, Limoux","They take sustainable winemaking seriously at Domaine Begude. Set in the heart of Languedoc’s Limoux region, the soils are totally organic and irrigation-free. Weeding is done manually, sheep manure is used as fertiliser and pesticides are banned. In other words, the Domaine cares both about making great wine and protecting the landscape. Fermentation in barrel produces this Chardonnay with gentle brioche, apple and pear notes – but it maintains plenty of freshness. Try it with a creamy risotto or seafood dishes, like fish pie.",£16.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Vanilla, Apricot, Cream, Green Apple, Lemon, Peach",per bottle,White,ABV 13.50%,Languedoc-Roussillon,Rich & Toasty,2021,Limoux
"Jam Shed Shiraz 2021/22, Australia","Jam Shed was created with one thing in mind – to create delicious, seriously drinkable wines. They’ve travelled the world to find the best spots for their grapes and bring you flavourful bottles at exceptional value. This Shiraz comes from sun-soaked Aussie vineyards where the warm days really dial up the rich flavours. It’s soft and fruity with jammy notes of sweet dark cherry, plum, pepper and spice. It’s the perfect bottle to enjoy with your favourite pizza.",£8.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.1,"Jammy, Red Cherry, Red Plum, Vanilla",per bottle,Red,ABV 13.50%,,Rich & Juicy,2022,
Ramos Reserva 2019/20 Vinho Regional Alentejano,"João Portugal Ramos started planting his own vines in Alentejo in 1990, gradually increasing the vineyard area and developing the winery. Traditional foot-treading in marble lagares is still practised on the estate, alongside modern temperature-controlled fermentation. A robust ruby red wine, with dense aromas of red berries and pudding spice. Flavours on the palate are bright, thick and jammy, with fine-grained, well integrated tannins and good length. Enjoy with a roasted pork loin marinated in Mediterranean spices.

In 2022, this wine won an IWC award for the 2020 vintage.",£9.99 per bottle,75CL,Trincadeira,"Syrah, Aragonez",Natural Cork,Portugal,10.5,"Vanilla, Black Plum, Blackberry, Tobacco",per bottle,Red,ABV 14.00%,Alentejo,Rich & Juicy,2020,
"Ernst Loosen Pinot Noir 2021/22, Pfalz","Ernst Loosen's family have made fantastic Riesling on the Mosel slopes for over 200 years. But to get the best from Pinot Noir, he headed to Pfalz. Pfalz Pinot Noir has quickly become one of Germany's flagship wine styles - and this really shows why. It has bright notes of red fruit, balancing acidity and smooth tannins. Excellent with roast chicken.",£14.99 per bottle,75CL,Pinot Noir,,Screwcap,Germany,10.1,"Spice, Black Fruit, Red Fruit",per bottle,Red,ABV 13.50%,Germany,Light & Elegant,2022,Pfalz
Cantine Maschio Extra Dry Prosecco DOC,"Cantine Maschio has been making internationally celebrated Prosecco since the 1970s. Bonaventura Maschio turned his family’s century-old distillery into a state-of-the-art winery, capable of producing exceptional fizz. Winemaker Gabriele Cescon ensures their prized Glera grapes are handled with the utmost care. She prefers to use ‘free-run juice’ – high-quality liquid produced when grapes are naturally crushed under their own weight. It means minimal contact with bitter compounds, resulting in elegant wines with pure, fresh flavours. Extra Dry means it’s not as dry as the Brut style – so if you like particularly fruity Prosecco, this will be right up your street. Expect fresh notes of white peach, orange blossom and almond. Best paired with fruity desserts or served as part of a range of cocktails.",£9.99 per bottle,750ML,Glera,,Natural Cork,Italy,9,"Citrus Fruit, Lemon, Peach, Pear",per bottle,White,ABV 12.00%,Prosecco Doc,Crisp & Fruity,NV,
"Villiera Wines Merlot 2020, Stellenbosch","Villiera Wines has been in the Grier family’s hands since 1983. Today, they have a strong ethical reputation. The winery is solar-powered, they've planted thousands of trees, use no insecticides and are a wildlife sanctuary. This Merlot was made by Nathan Valentine, who earned his stripes at the renowned De Morgenzon winery, as well as in California and the south of France. You can taste his expertise in every sip. Expect flavours of ripe plum, damson, red cherry and smoky vanilla and elegant tannins. Partner with pan-seared tuna steak.",£11.99 per bottle,75CL,Merlot,,Natural Cork,South Africa,10.5,"Red Cherry, Red Plum, Smoke, Vanilla",per bottle,Red,ABV 14.00%,Stellenbosch,Smooth & Mellow,2020,
"Jam Shed Chardonnay 2021/22, Australia","Jam Shed was created with one thing in mind – to create delicious, seriously drinkable wines. They’ve travelled the world to find the best spots for their grapes and bring you flavourful bottles at exceptional value. This Chardonnay comes from sun-soaked Aussie vineyards where the warm days really dial up the rich flavours. It’s rich and decadent with ripe notes of peach, citrus and a hint of toasty oak. Enjoy it with creamy pasta dishes.",£8.99 per bottle,75CL,Chardonnay,,Screwcap,Australia,10.1,"Butter, Peach, Vanilla",per bottle,White,ABV 13.50%,,Rich & Toasty,2022,
"Château de Pennautier 'Marquis de Pennautier' Chardonnay-Viognier 2021/22, Pays d'Oc","From the estate of the historic 17th century Château de Pennautier in Cabardès, this is a bright and fruity Chardonnay-Viognier blend. Expect notes of apple and citrus from the Chardonnay, and hints of apricot from the Viognier. Try with meatier fish and Mediterranean-inspired dished such as ratatouille.",£12.99 per bottle,75CL,Chardonnay,Viognier,Screwcap,France,10.1,"Spice, Citrus Fruit, Green Apple",per bottle,White,ABV 13.50%,Languedoc-Roussillon,Ripe & Rounded,2022,Pays D'Oc
"MontGras ‘Day One’ Chardonnay 2021/22, Leyda Valley","The Day One wines are a celebration of the first day of harvest in each vineyard. The dates are even printed on the labels. Their head winemaker Adolfo Hurtado – a Chilean legend with plenty of experience as former chief winemaker at the famous Cono Sur Vineyards. He produces sustainable wines at MontGras’ winery in Leyda Valley, Chile’s newest winemaking area. Its cool ocean breezes and morning fog relieve the grapes from the warm sunshine making it perfect for great quality white wines. Expect flavours of citrus, blossom, pineapple and tropical fruit. Its creamy texture and refreshing acidity make it a brilliant pairing with salmon ceviche. 

In 2022, this wine won an IWC award for the 2021 vintage.",£11.99 per bottle,75CL,Chardonnay,,Screwcap,Chile,10.5,"Citrus Fruit, Floral, Peach, Tropical Fruit",per bottle,White,ABV 14.00%,Aconcagua,Fresh & Elegant ,2022,San Antonio Valley / Leyda Valley
"Graham Beck Blanc de Blancs 2017/18, South Africa","Graham Beck has been synonymous with quality South African fizz since 1991. They've won plenty of awards by producing some of the country’s best traditional method sparkling wines – known locally as ‘Methode Cap Classique’. These wines have even been sipped by the likes of Nelson Mandela and Barack Obama. This one is made from Chardonnay grapes hand-picked at night to preserve freshness. Expect aromas of lime, green apple and pear. The flavours of citrus, brioche and gentle spice lead to a long finish.",£22.99 per bottle,75CL,Chardonnay,,Natural Cork,South Africa,9,"Green Apple, Pastry, Pear",per bottle,White,ABV 12.00%,Western Cape,Rich & Toasty,2018,
"Definition Sauvignon Blanc 2022, Marlborough","When we looked to define Marlborough Sauvignon, we knew we had to bring in the big guns. There was only one man for the job – Brent Marris, the winemaker behind our best-selling Kiwi Sauvignon, The Ned. We worked with Brent to cherry pick the very best grapes from specific parcels of vines. We wanted to go big on flavour and make it mouth-wateringly refreshing. The result? It’s the very best of Marlborough in a bottle. It’s a heady mix of fresh-cut grass, elderflower and passionfruit, with textbook freshness and citrusy flavours. It’ll sing with creamy goat's cheese.",£10.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,9.8,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.00%,Marlborough,Crisp & Zesty,2022,
Georges Duboeuf 'Flower Label' Fleurie 2020/21,"18-year-old Georges Duboeuf knew his family’s wines had the potential to become some of the most celebrated Beaujolais in France. In 1964, he set off on his bicycle with a selection of bottles strapped to his back. He pedalled around some of the most celebrated French restaurateurs of the day and they all loved the food-friendly wines. Georges’ success inspired him to expand the family business and build relationships with some of the best growers in Beaujolais. Fleurie is one of best appellations in the region – known for producing floral, delicate wines. Think violets and red berries, with a really silky texture. As for food – it’s brilliant with charcuterie and terrines.",£15.99 per bottle,75CL,Gamay,,Screwcap,France,10.5,"Strawberry, Floral, Raspberry, Red Cherry",per bottle,Red,ABV 14.00%,Beaujolais,Soft & Fruity,2021,Fleurie
"Edna Valley Chardonnay 2019/20, Central Coast","Edna Valley's vineyards are just a stone’s throw from the Californian coast, an area that's famous for its top-quality Chardonnay. You'll find big names like Napa and Sonoma nearby, but Edna Valley Vineyard choose to work within lesser-known wine regions instead – meaning they're where to go for quality and value. White peach. Apricot. Melon. The flavours are seriously ripe, but it’s still deliciously crisp and refreshing. A touch of oak adds a rich roundness and subtle spice, making it a perfect match for buttery pumpkin ravioli.",£15.99 per bottle,75CL,Chardonnay,,Natural Cork,USA,10.5,"Vanilla, Cream, Green Apple, Peach",per bottle,White,ABV 14.00%,California,Rich & Toasty,2020,Central Coast
